"Code","CodeType","NewCode","Deficit"
"200.72","ICD9","20072","Cancer"
"209.52","ICD9","20952","Cancer"
"202.54","ICD9","20254","Cancer"
"209.33","ICD9","20933","Cancer"
"202.11","ICD9","20211","Cancer"
"201.48","ICD9","20148","Cancer"
"202.14","ICD9","20214","Cancer"
"200.08","ICD9","20008","Cancer"
"205.32","ICD9","20532","Cancer"
"206.91","ICD9","20691","Cancer"
"202.97","ICD9","20297","Cancer"
"201.76","ICD9","20176","Cancer"
"206.22","ICD9","20622","Cancer"
"208.8","ICD9","2088","Cancer"
"202.57","ICD9","20257","Cancer"
"202.33","ICD9","20233","Cancer"
"201.51","ICD9","20151","Cancer"
"209.66","ICD9","20966","Cancer"
"205.1","ICD9","2051","Cancer"
"200.42","ICD9","20042","Cancer"
"208.81","ICD9","20881","Cancer"
"202.36","ICD9","20236","Cancer"
"206.2","ICD9","2062","Cancer"
"209.75","ICD9","20975","Cancer"
"200.58","ICD9","20058","Cancer"
"208.12","ICD9","20812","Cancer"
"201.70","ICD9","20170","Cancer"
"203.82","ICD9","20382","Cancer"
"207.21","ICD9","20721","Cancer"
"207.11","ICD9","20711","Cancer"
"200.38","ICD9","20038","Cancer"
"202.73","ICD9","20273","Cancer"
"203.80","ICD9","20380","Cancer"
"201.73","ICD9","20173","Cancer"
"204.91","ICD9","20491","Cancer"
"203.01","ICD9","20301","Cancer"
"201.98","ICD9","20198","Cancer"
"203.10","ICD9","20310","Cancer"
"202.94","ICD9","20294","Cancer"
"200.21","ICD9","20021","Cancer"
"200.84","ICD9","20084","Cancer"
"207.1","ICD9","2071","Cancer"
"200.85","ICD9","20085","Cancer"
"209.55","ICD9","20955","Cancer"
"202.44","ICD9","20244","Cancer"
"209.50","ICD9","20950","Cancer"
"201.40","ICD9","20140","Cancer"
"201.60","ICD9","20160","Cancer"
"201.08","ICD9","20108","Cancer"
"200.57","ICD9","20057","Cancer"
"206.82","ICD9","20682","Cancer"
"208.22","ICD9","20822","Cancer"
"201.28","ICD9","20128","Cancer"
"202.61","ICD9","20261","Cancer"
"202.87","ICD9","20287","Cancer"
"208.9","ICD9","2089","Cancer"
"209.03","ICD9","20903","Cancer"
"200.27","ICD9","20027","Cancer"
"200.33","ICD9","20033","Cancer"
"209.01","ICD9","20901","Cancer"
"200.30","ICD9","20030","Cancer"
"205.9","ICD9","2059","Cancer"
"209.27","ICD9","20927","Cancer"
"200.10","ICD9","20010","Cancer"
"201.17","ICD9","20117","Cancer"
"206.0","ICD9","2060","Cancer"
"201.77","ICD9","20177","Cancer"
"204.81","ICD9","20481","Cancer"
"207.2","ICD9","2072","Cancer"
"201.91","ICD9","20191","Cancer"
"208.01","ICD9","20801","Cancer"
"201.18","ICD9","20118","Cancer"
"207.12","ICD9","20712","Cancer"
"202.96","ICD9","20296","Cancer"
"205.02","ICD9","20502","Cancer"
"202.68","ICD9","20268","Cancer"
"201.74","ICD9","20174","Cancer"
"204.92","ICD9","20492","Cancer"
"209.72","ICD9","20972","Cancer"
"206.8","ICD9","2068","Cancer"
"200.00","ICD9","20000","Cancer"
"201.95","ICD9","20195","Cancer"
"202.93","ICD9","20293","Cancer"
"202.78","ICD9","20278","Cancer"
"201.92","ICD9","20192","Cancer"
"200.20","ICD9","20020","Cancer"
"202.76","ICD9","20276","Cancer"
"200.70","ICD9","20070","Cancer"
"209.29","ICD9","20929","Cancer"
"202.32","ICD9","20232","Cancer"
"207.02","ICD9","20702","Cancer"
"206.02","ICD9","20602","Cancer"
"202.13","ICD9","20213","Cancer"
"209.54","ICD9","20954","Cancer"
"203.02","ICD9","20302","Cancer"
"202.88","ICD9","20288","Cancer"
"200.60","ICD9","20060","Cancer"
"200.50","ICD9","20050","Cancer"
"200.40","ICD9","20040","Cancer"
"200.73","ICD9","20073","Cancer"
"206.81","ICD9","20681","Cancer"
"201.43","ICD9","20143","Cancer"
"200.66","ICD9","20066","Cancer"
"201.07","ICD9","20107","Cancer"
"201.27","ICD9","20127","Cancer"
"206.10","ICD9","20610","Cancer"
"204.82","ICD9","20482","Cancer"
"209.56","ICD9","20956","Cancer"
"200.83","ICD9","20083","Cancer"
"200.36","ICD9","20036","Cancer"
"203.81","ICD9","20381","Cancer"
"205.90","ICD9","20590","Cancer"
"207.80","ICD9","20780","Cancer"
"202.56","ICD9","20256","Cancer"
"209.73","ICD9","20973","Cancer"
"201.65","ICD9","20165","Cancer"
"201.45","ICD9","20145","Cancer"
"203.1","ICD9","2031","Cancer"
"202.25","ICD9","20225","Cancer"
"200.13","ICD9","20013","Cancer"
"200.03","ICD9","20003","Cancer"
"202.91","ICD9","20291","Cancer"
"201.24","ICD9","20124","Cancer"
